source,target
36860,68749
108673,84768
197366,38106
138498,2834313
16707,210702
16707,31921
125159,40768
1763,93881
13802,5209
17116,4775
129936,144143
19758,36860
283530,36860
26641,40052
234445,58448
2590,686372
204818,39890
24547,4775
191816,82442
135790,26641
19689,282753
156461,2623481
144143,4124
21171,55195
283530,5720
125290,1445
29001,4124
117489,216523
141766,6386
197366,99509
154486,42867
138498,194463
1763,82442
24106,38106
158208,192899
156461,40052
129936,5289
26641,376297
40768,58448
61703,62220
38106,43389
249986,84768
249986,54379
21000,28207
84768,99509
154486,38106
191816,43002
138498,21171
194463,251049
1763,249986
13802,24547
140486,294
19758,23939
283530,43389
228104,376297
125290,251049
247365,251049
125159,130535
19689,87812
210702,40768
13802,43389
140486,43389
216523,294558
34789,94416
282753,379282
25668,40052
38437,39599
6458,68749
171072,264287
151331,89176
197366,6386
197366,56789
162427,5739
20104,26829
1763,20104
156461,247365
156461,16707
26632,43389
282753,68749
102675,216523
102675,151269
32537,43389
33832,43389
249467,25668
125159,140486
135790,192899
128417,5865
100331,24106
110793,32537
251049,5865
31921,68749
156461,205091
23939,24547
282753,59325
7722,9684
228104,38175
250080,5720
10725,34789
14382,32537
100124,5209
270001,93881
2187,2623481
138498,9105
138498,19689
55195,6458
101117,247365
16707,6384
110793,5865
28207,38175
25668,39320
125290,140486
250080,9413
1445,43389
1445,197366
21000,24547
21000,282753
36860,40768
16291,1763
191816,250080
264294,33976
1763,83131
23939,4775
23939,24106
129936,3169
140486,7722
154972,208687
19758,55195
140692,271504
208687,234445
21000,87812
102675,192899
108673,5209
14382,264287
34603,87812
218845,4897
21258,23939
191816,24547
210702,99202
154972,9105
28207,32537
40768,55195
193307,2590
250080,40052
250080,28207
100124,197366
270001,32273
12390,2590
197366,36860
290760,54379
135790,140692
1763,21258
251049,40768
156461,270001
156461,3169
144143,208687
17116,38175
140486,89176
216523,54379
26641,99509
34789,5289
104792,13802
264287,290760
25865,31921
121421,251049
34603,38175
197366,24547
154665,21015
28686,55195
156461,68749
129936,21171
216523,251049
216523,34390
40768,59325
21015,39320
21015,40768
15351,210702
165703,94486
140692,93881
107059,192899
14382,251049
14382,17116
100124,2590
191816,210702
21068,210702
110793,20104
1763,19758
3169,38441
14158,251049
26641,94416
104792,406563
21015,24106
38441,5289
264287,38175
208687,282753
12390,5209
191816,43389
125159,25668
18127,283530
19689,379282
1763,89176
1763,32693
251049,376297
251049,38175
210702,24106
32860,40052
156461,99202
156461,376297
129936,24860
107900,216523
125290,24547
125290,144143
102675,247365
121421,77596
121421,60992
210702,31921
31921,5209
31921,40768
13802,26641
17116,3169
28207,282753
34789,38437
192899,264287
21015,2590
19381,247365
250080,25668
130535,58448
10725,61703
43389,87812
22795,87812
24547,40052
197366,271504
197366,28207
290760,55195
27945,84768
1763,210702
251049,32693
24106,24547
24106,5865
4124,5289
140692,38106
107059,251049
197366,93881
191816,26641
271504,40768
210702,32693
156461,208687
140486,32537
140486,5289
38441,6384
250080,2590
1445,25668
40052,6458
108673,24106
43389,89176
14634,3169
162427,68749
125159,6386
19689,21068
144143,43389
